City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Analipsis,GR,64.11,overcast clouds,35.3167,25.5667,Castello Village Resort
247,Rio Gallegos,AR,59.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
249,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
250,Lenger,KZ,63.84,clear sky,42.183,69.8839,Gostevoy Dom 1
253,Fort Nelson,CA,60.39,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
254,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
268,Ballina,AU,62.78,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
270,Vondrozo,MG,57.52,few clouds,-22.8167,47.2833,
271,Bahia Blanca,AR,62.78,overcast clouds,-38.7196,-62.2724,Hotel Argos
273,Tocopilla,CL,62.74,few clouds,-22.092,-70.1979,Hotel Galvarino
274,Teodoro Sampaio,BR,63.73,few clouds,-22.5325,-52.1675,Hotel do Senhor
279,Campbell River,CA,60.6,overcast clouds,50.0163,-125.2446,Anchor Inn & Suites
284,Nemuro,JP,66.67,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
291,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
292,Ergani,TR,65.14,clear sky,38.2653,39.7621,Serkan Hotel
295,Mareeba,AU,67.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
298,Esperance,AU,56.53,broken clouds,-33.8667,121.9,Hospitality Esperance
301,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
303,Camana,PE,62.78,broken clouds,-16.6228,-72.7111,Hostal Morales
304,Santa Maria,BR,63.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
309,Yeppoon,AU,58.78,clear sky,-23.1333,150.7333,Villa Mar Colina
310,Sitka,US,55.29,moderate rain,57.0531,-135.33,Westmark Sitka
313,Saint Anthony,US,56.64,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
316,Plettenberg Bay,ZA,57.56,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
317,Southbridge,US,59.4,clear sky,42.0751,-72.0334,Southbridge Hotel & Conference Center
318,Bonavista,CA,61.34,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
320,Bonga,ET,59.52,overcast clouds,7.2833,36.2333,Abelena bare and restorant
322,Sembe,CG,69.94,overcast clouds,1.6481,14.5806,
330,East London,ZA,63.0,light rain,-33.0153,27.9116,Tu Casa
340,Beloha,MG,66.06,clear sky,-25.1667,45.05,
341,Gamboula,CF,65.79,overcast clouds,4.1178,15.1393,
345,Boysun,UZ,64.96,clear sky,38.2061,67.1986,Gaza Hotel
349,Longkou,CN,62.94,clear sky,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
350,Villablino,ES,58.82,broken clouds,42.9393,-6.3194,Hotel La Brañina
352,Manyana,BW,68.2,clear sky,-23.4,21.7167,
360,Okakarara,,66.0,clear sky,-20.5833,17.4333,"Okahitua, Omaboro City"
363,Rantoul,US,62.62,overcast clouds,40.3084,-88.1559,First Heritage Inn
365,Mayo,US,69.78,clear sky,38.8876,-76.5119,Resorts Resource Group International
370,Manyoni,TZ,68.13,broken clouds,-5.7467,34.8382,bm lodge bm lodge
374,Barranca,PE,63.93,few clouds,-10.75,-77.7667,El Olivar Hospedaje
377,Sioux Lookout,CA,60.87,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
382,Korem,ET,55.8,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
383,Den Helder,NL,58.98,overcast clouds,52.9599,4.7593,Hotel Den Helder
385,Northam,GB,59.4,broken clouds,51.0333,-4.2167,Durrant House Hotel
389,Havre-Saint-Pierre,CA,59.36,broken clouds,50.2334,-63.5986,Auberge Niapiskau 2
400,Derzhavinsk,KZ,68.52,clear sky,51.1,66.3167,Ooo.khim Baza
406,Airai,TL,60.39,overcast clouds,-8.9266,125.4092,
411,Karacabey,TR,59.38,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
416,Saint Albans,GB,60.31,overcast clouds,51.75,-0.3333,The White Hart
418,Shaoxing,CN,64.35,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
424,Rantepao,ID,65.52,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
429,Xichang,CN,57.34,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
431,Upington,ZA,59.38,clear sky,-28.4478,21.2561,River Place Manor
435,Yangcun,CN,62.58,clear sky,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
439,Pokhara,NP,68.5,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
446,Agadir,MA,68.45,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
447,Shache,CN,66.7,broken clouds,38.4167,77.2406,Delong Hotel
451,Hami,CN,65.66,few clouds,42.8,93.45,Laoyutang Resort
456,Valparaiso,CL,68.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
461,Challapata,BO,61.23,broken clouds,-18.9,-66.7667,HOSTAL MARIAN
465,Guilin,CN,69.91,scattered clouds,25.2819,110.2864,Grand 0773 Hotel
466,Kushiro,JP,64.18,light rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
467,Council Bluffs,US,59.22,overcast clouds,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
468,Mananara,MG,69.4,moderate rain,-16.1667,49.7667,Chez Roger
474,Uhlove,UA,58.14,overcast clouds,44.8215,33.6045,Tavryda
475,Divnomorskoye,RU,57.6,broken clouds,44.5011,38.1353,Primorskiy
476,Lata,PT,65.8,overcast clouds,40.1629,-8.3327,Casa Maquia
486,Saint Austell,GB,57.76,few clouds,50.3383,-4.7658,The Cornwall Hotel & Spa
488,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
493,Naron,ES,64.6,overcast clouds,43.5167,-8.1528,Marcial
497,Concarneau,FR,57.99,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
503,Channel-Port Aux Basques,CA,58.75,light rain,47.5702,-59.1367,St. Christopher's Hotel
508,Ikalamavony,MG,60.91,few clouds,-21.15,46.5833,
509,Jiangyou,CN,61.39,light rain,31.7667,104.7167,Shangping Shuyuan Inn
511,Imbituba,BR,60.03,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
514,Altay,CN,55.62,clear sky,47.8667,88.1167,Jinqiao Hotel
518,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
523,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
