City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
662,Agartala,23.8364,91.275,75.51,97,100,4.7,IN,2022-09-23 20:48:56,light rain
663,Turukhansk,65.8167,87.9833,30.87,98,99,6.85,RU,2022-09-23 20:48:56,overcast clouds
664,Ancud,-41.8697,-73.8203,52.23,66,15,7.18,CL,2022-09-23 20:44:08,few clouds
665,Sao Filipe,14.8961,-24.4956,79.0,84,45,7.78,CV,2022-09-23 20:48:57,light rain
666,Rapid Valley,44.0625,-103.1463,72.72,36,100,21.0,US,2022-09-23 20:48:57,overcast clouds
667,Khani,41.9563,42.9566,49.57,90,34,3.91,GE,2022-09-23 20:48:58,scattered clouds
668,Pula,44.8683,13.8481,54.16,71,0,4.61,HR,2022-09-23 20:48:58,clear sky
669,Maputo,-25.9653,32.5892,71.28,88,40,16.11,MZ,2022-09-23 20:48:58,scattered clouds
670,Kavieng,-2.5744,150.7967,82.72,70,93,14.92,PG,2022-09-23 20:48:59,overcast clouds
671,Kabelvag,68.2114,14.4817,52.02,93,75,6.91,NO,2022-09-23 20:48:59,broken clouds
672,Vung Tau,10.346,107.0843,79.39,84,96,9.28,VN,2022-09-23 20:49:00,overcast clouds
673,Atakpame,7.5333,1.1333,72.3,96,100,3.06,TG,2022-09-23 20:49:00,overcast clouds
674,Mahon,39.8885,4.2658,72.16,60,0,8.05,ES,2022-09-23 20:46:51,clear sky
675,Morondava,-20.2833,44.2833,73.49,84,0,7.65,MG,2022-09-23 20:49:00,clear sky
676,Naze,28.3667,129.4833,77.92,87,66,12.3,JP,2022-09-23 20:49:01,broken clouds
677,Carauari,-4.8828,-66.8958,74.95,93,82,5.79,BR,2022-09-23 20:49:01,moderate rain
678,Sari,36.5633,53.0601,72.99,88,0,2.3,IR,2022-09-23 20:50:02,clear sky
679,Nyrob,60.733,56.7202,45.07,95,100,6.53,RU,2022-09-23 20:50:02,overcast clouds
680,Chapais,49.7834,-74.8492,49.78,54,6,10.02,CA,2022-09-23 20:50:03,clear sky
681,Fatehpur,25.9333,80.8,76.35,90,100,5.28,IN,2022-09-23 20:49:20,overcast clouds
682,Hede,33.7681,120.2517,57.9,61,100,4.7,CN,2022-09-23 20:50:04,overcast clouds
683,Talas,38.6908,35.5538,56.07,88,75,0.0,TR,2022-09-23 20:50:05,broken clouds
684,Bichura,50.5881,107.6022,42.94,93,100,2.95,RU,2022-09-23 20:50:06,overcast clouds
685,Sistranda,63.7256,8.834,48.16,82,16,13.78,NO,2022-09-23 20:50:07,few clouds
686,Tuatapere,-46.1333,167.6833,50.34,81,76,1.68,NZ,2022-09-23 20:50:07,broken clouds
687,Ambovombe,-25.1667,46.0833,68.27,72,33,7.63,MG,2022-09-23 20:50:08,scattered clouds
688,Spring Valley,36.108,-115.245,92.95,12,20,6.91,US,2022-09-23 20:49:09,few clouds
689,Amboasary,-25.0333,46.3833,67.37,75,37,6.51,MG,2022-09-23 20:50:08,scattered clouds
690,Kandrian,-6.2167,149.55,76.3,87,51,4.05,PG,2022-09-23 20:50:09,light rain
691,Morro Bay,35.3658,-120.8499,92.71,42,1,8.01,US,2022-09-23 20:50:10,clear sky
692,Batemans Bay,-35.7167,150.1833,59.09,95,100,6.58,AU,2022-09-23 20:50:10,moderate rain
